GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.exception,BusinessExceptionHandler,158,0,8,0,31,0,11,0,7,0
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.exception,BusinessException,27,7,0,0,12,3,6,1,6,1
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web,App,8,0,0,0,3,0,2,0,2,0
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.request,LoginInfo,7,10,0,0,3,4,2,3,2,3
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.response,ErrorInfo,17,0,0,0,8,0,5,0,5,0
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.response,ApiPageResponse,103,0,0,0,34,0,13,0,13,0
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.response,ApiResponse,30,32,0,0,10,13,3,7,3,7
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.controller,Home,0,15,0,0,0,4,0,4,0,4
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.config,SwaggerConfiguration,28,0,0,0,11,0,3,0,3,0
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.config,TomcatConfiguration,30,0,0,0,8,0,3,0,3,0
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.config,MobileFilter,57,0,4,0,16,0,6,0,4,0
jason-general-jacoco/jason-general-web,com.jason.archetype.general.web.config,CorsConfiguration,29,0,0,0,6,0,2,0,2,0
jason-general-jacoco/jason-general-common,com.jason.archetype.general.common.kafka.config,ConcurrentKafkaConsumerConfiguration,0,86,0,0,0,19,0,5,0,5
jason-general-jacoco/jason-general-common,com.jason.archetype.general.common.kafka.config,KafkaTemplateConfiguration,0,34,0,0,0,7,0,3,0,3
jason-general-jacoco/jason-general-common,com.jason.archetype.general.common.kafka.producer,AbstractKafkaProducer,22,78,0,4,3,16,0,5,0,3
jason-general-jacoco/jason-general-common,com.jason.archetype.general.common.kafka.producer,AbstractKafkaProducer.new ListenableFutureCallback() {...},55,18,1,1,4,3,2,2,1,2
jason-general-jacoco/jason-general-common,com.jason.archetype.general.common.kafka.producer,DefaultKafkaProducer,0,16,0,2,0,6,0,4,0,3
jason-general-jacoco/jason-general-common,com.jason.archetype.general.common.kafka.consumer,AbstractKafkaConsumer,18,69,0,0,5,19,0,5,0,5
jason-general-jacoco/jason-general-common,com.jason.archetype.general.common.hdfs,HdfsConfig,0,19,0,0,0,6,0,2,0,2
jason-general-jacoco/jason-general-common,com.jason.archetype.general.common.hdfs,HdfsService,166,304,5,7,27,62,6,14,1,13
